,LHA11561.0001.1.1.2.1.ZZX6GV14_S1,LHA11561.0002.1.1.2.2.ZZX6GWU2_S2,LHA11561.0003.1.1.2.3.ZZX6GYKK_S3,LHA11561.0004.1.1.2.4.ZZX6H0B2_S4,LHA11561.0005.1.1.6.1.ZZX6GV40_S5,LHA11561.0007.1.1.6.3.ZZX6GYNC_S7,LHA11561.0008.1.1.6.4.ZZX6H0DU_S8,LHA11561.0009.1.1.7.1.ZZX6GV4Q_S9,LHA11561.0010.1.1.7.2.ZZX6GWXJ_S10,LHA11561.0011.1.1.7.3.ZZX6GYO1_S11,LHA11561.0012.1.1.7.4.ZZX6H0EJ_S12,LHA11561.0013.1.1.18.1.ZZX6GVCO_S13,LHA11561.0014.1.1.18.2.ZZX6GX56_S14,LHA11561.0015.1.1.18.3.ZZX6GYVO_S15,LHA11561.0016.1.1.18.4.ZZX6H0M6_S16
2b3f74ee1d2c88e3c83ea56cb9ee1903,0,0,5251,6866,0,0,0,0,0,0,0,0,0,0,0
60e389dfb83cd1f65749e020eee940d9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81585f173ce483c9b7228ab085f64f2e,313,513,551,460,361,154,0,0,0,193,0,0,369,92,147
5c5e95ecc0d0185babdba693e2b25fc5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57eafe6b9908935377da103b80938f36,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
1c06925dc035a9d04400b95dda595958,10,0,29,0,80,45,0,65,23,0,4,0,0,0,0
4d388555cd8ad056824d1060bdd8a715,454,0,99,487,87,41,0,0,0,21,1443,0,0,0,0
8bb807ac75b5126468f1fc3d244671f2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5a4c6a7fef95a32780b7aa00ef349b25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511b306bd1edac3b84e915f1b2ea25e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2d39debfb8cce5bca2555024f1e8af3b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6b89a2e0abb731c72914f20657381c1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678b1165a69b7c42472818ea06550964,0,0,0,0,0,0,0,0,0,0,0,67,403,0,0
deab97980de525569d6737272118609a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
748a6f0b0becd6bffa8341cd64a209c0,0,0,0,0,0,0,0,0,0,5502,229,1113,1051,636,1255
774d4e3c77a5ea8767f78da0c6526894,315,541,523,442,362,155,0,0,0,0,0,0,344,0,0
4eff99b5d02cc47e3d184718c52f5aa1,0,0,0,0,8,0,0,0,0,0,0,0,278,210,9
8faaffadeac304709dd50b2d20009843,0,6,0,0,0,0,44,0,0,69,432,67,0,0,15
d4eb8a2e1cbe67cc66629677e2d184f3,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0
d8dabcc347b8f845a87c89c7b3821e27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cc28a64fd49033bfb6d3bd175111e9d6,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
